油烟机	产品	集成灶	下游	下游
安居宝 300155	公司	智能家居	产品	主营产品
阳光城 000671	公司	智能家居	产品	主营产品
厨房电器	产品	电器	产品	上位产品
金钼股份 601958	公司	金属	产品	主营产品
老板电器 002508	公司	大家电	产品	主营产品
长春燃气 600333	公司	厨具	产品	主营产品
和晶科技 300279	公司	智能家居	产品	主营产品
酒钢宏兴 600307	公司	板材	产品	主营产品
格力电器 000651	公司	电器	产品	主营产品
家居	产品	智能化开关	上游	上游
富安娜 002327	公司	家居	产品	主营产品
油烟机	产品	抽油烟机	下位产品	下位产品
财信发展 000838	公司	房地产	产品	主营产品
合肥城建 002208	公司	房地产开发	产品	主营产品
合肥百货 000417	公司	家电	产品	主营产品
中超控股 002471	公司	电缆	产品	主营产品
*ST吉恩 600432	公司	不锈钢	产品	主营产品
格力电器 000651	公司	厨具	产品	主营产品
格力电器 000651	公司	家电	产品	主营产品
浙江美大 002677	公司	集成灶	产品	主营产品
中国中铁 601390	公司	房地产开发	产品	主营产品
中化国际 600500	公司	塑料	产品	主营产品
老板电器 002508	公司	厨卫	产品	主营产品
利源精制 002501	公司	装饰	产品	主营产品
老板电器 002508	公司	其他小家电	产品	主营产品
顺鑫农业 000860	公司	房地产	产品	主营产品
鞍钢股份 000898	公司	不锈钢	产品	主营产品
兔宝宝 002043	公司	木门	产品	主营产品
油烟机	产品	烟机	产品	上位产品
三湘印象 000863	公司	房地产	产品	主营产品
油烟机	产品	吸油烟机	下位产品	下位产品
百川能源 600681	公司	装饰	产品	主营产品
德奥通航 002260	公司	厨房电器	产品	主营产品
老板电器 002508	公司	厨电	产品	主营产品
南京新百 600682	公司	房地产业	产品	主营产品
明星电缆 603333	公司	电缆	产品	主营产品
*ST圣莱 002473	公司	小家电	产品	主营产品
老板电器 002508	公司	厨具	产品	主营产品
中弘股份 000979	公司	房地产开发	产品	主营产品
步步高 002251	公司	电器	产品	主营产品
索菲亚 002572	公司	家居	产品	主营产品
三安光电 600703	公司	芯片	产品	主营产品
青岛海尔 600690	公司	智能家居	产品	主营产品
罗莱生活 002293	公司	大家居	产品	主营产品
燃气灶	产品	玻璃	上游	上游
酒钢宏兴 600307	公司	不锈钢	产品	主营产品
智慧能源 600869	公司	电缆	产品	主营产品
家居	产品	房地产	上游	上游
美的集团 000333	公司	智能家居	产品	主营产品
万和电气 002543	公司	厨电	产品	主营产品
安阳钢铁 600569	公司	板材	产品	主营产品
八菱科技 002592	公司	塑料	产品	主营产品
秀强股份 300160	公司	家电	产品	主营产品
佛塑科技 000973	公司	塑料	产品	主营产品
其他小家电	产品	小家电	产品	上位产品
金螳螂 002081	公司	装饰	产品	主营产品
苏泊尔 002032	公司	油烟机	产品	主营产品
九阳股份 002242	公司	小家电	产品	主营产品
厨具	产品	金属钛	上游	上游
海航创新 600555	公司	房地产业	产品	主营产品
家电	产品	光管	上游	上游
中洲控股 000042	公司	房地产开发	产品	主营产品
老板电器 002508	公司	燃气灶	产品	主营产品
德豪润达 002005	公司	小家电	产品	主营产品
汉缆股份 002498	公司	电缆	产品	主营产品
久其软件 002279	公司	不锈钢	产品	主营产品
老板电器 002508	公司	厨房大电器	产品	主营产品
华帝股份 002035	公司	油烟机	产品	主营产品
东软载波 300183	公司	智能家居	产品	主营产品
